topic,crops,parameter,fact_type,statement,value,min_value,max_value,unit,condition,action,evidence_quote,confidence,source_file,source_name,page_start,page_end,section,chunk_id,relevance_score,provenance,knowledge_text,fact_id
soil_health,,chelating substances (siderophores),cause_effect,"The stimulation by chelating substances (siderophores) is mainly due to making micronutrients more available to plants, which causes roots to grow longer and to have more branches.",,,,None,presence of chelating substances (siderophores),None,"The stimulation by chelating substances (siderophores) is mainly due to making micronutrients more available to plants, which causes roots to grow longer and to have more branches.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,38,38,,f90c6320b6211de90b186e9980654c0aae5f4ec7,0.6716,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 38, ""page_end"": 38, ""chunk_id"": ""f90c6320b6211de90b186e9980654c0aae5f4ec7"", ""evidence_quote"": ""The stimulation by chelating substances (siderophores) is mainly due to making micronutrients more available to plants, which causes roots to grow longer and to have more branches.""}]","Parameter: chelating substances (siderophores)
Fact: The stimulation by chelating substances (siderophores) is mainly due to making micronutrients more available to plants, which causes roots to grow longer and to have more branches.
Condition: presence of chelating substances (siderophores)
Recommended action: None",7051fd1efe1d43639bf063fa9a9ccd28883bfad9
soil_health,,chemical soil health indicators,definition,"Chemical soil health indicators include macro and micronutrients, and soil reaction (pH).",,,,None,chemical soil health indicators,None,"Chemical soil health indicators are discussed in Chapter 21 on conventional soil testing and include macro and micronutrients, and soil reaction (pH).",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,383,383,,b8695ab68af1852f8fa868b5bc69e2318ec211a4,0.6462,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 383, ""page_end"": 383, ""chunk_id"": ""b8695ab68af1852f8fa868b5bc69e2318ec211a4"", ""evidence_quote"": ""Chemical soil health indicators are discussed in Chapter 21 on conventional soil testing and include macro and micronutrients, and soil reaction (pH).""}]","Parameter: chemical soil health indicators
Fact: Chemical soil health indicators include macro and micronutrients, and soil reaction (pH).
Condition: chemical soil health indicators
Recommended action: None",89477315ae098754f3848650255c819a66e8ac56
soil_health,,crop yield,cause_effect,A study of soils in Michigan demonstrated potential crop-yield increases of about 12% for every 1% increase in organic matter.,12.0,,,%,per 1% increase in organic matter,None,A study of soils in Michigan demonstrated potential crop-yield increases of about 12% for every 1% increase in organic matter.,0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,32,32,,dfd5df63c02bff22ee1ca5bb197064f78d9d78b7,0.647,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 32, ""page_end"": 32, ""chunk_id"": ""dfd5df63c02bff22ee1ca5bb197064f78d9d78b7"", ""evidence_quote"": ""A study of soils in Michigan demonstrated potential crop-yield increases of about 12% for every 1% increase in organic matter.""}]","Parameter: crop yield
Fact: A study of soils in Michigan demonstrated potential crop-yield increases of about 12% for every 1% increase in organic matter.
Explicit value: 12 %
Condition: per 1% increase in organic matter
Recommended action: None",c6b811edcd02c70662a0e9271df7604af3321c1b
soil_health,,humic substances,cause_effect,Humic substances in soil may stimulate root growth and development by increasing availability of micronutrients and by changing the expression of a number of genes.,,,,None,presence of humic substances in soil,None,Humic substances in soil may stimulate root growth and development by both increasing availability of micronutrients and by changing the expression of a number of genes (Figure 2.7).,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,38,38,,f90c6320b6211de90b186e9980654c0aae5f4ec7,0.6716,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 38, ""page_end"": 38, ""chunk_id"": ""f90c6320b6211de90b186e9980654c0aae5f4ec7"", ""evidence_quote"": ""Humic substances in soil may stimulate root growth and development by both increasing availability of micronutrients and by changing the expression of a number of genes (Figure 2.7).""}]","Parameter: humic substances
Fact: Humic substances in soil may stimulate root growth and development by increasing availability of micronutrients and by changing the expression of a number of genes.
Condition: presence of humic substances in soil
Recommended action: None",55ac0b0f3994d663d7fba39fae28117da73b5055
soil_health,,leaf yellowing,cause_effect,Leaf yellowing indicates loss of available nitrogen by denitrification.,,,,None,prolonged wet periods,None,Leaf yellowing indicates loss of available nitrogen by denitrification.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,379,379,,b756161014ada4aff228ae7a2e0ac9b9493b9684,0.6533,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 379, ""page_end"": 379, ""chunk_id"": ""b756161014ada4aff228ae7a2e0ac9b9493b9684"", ""evidence_quote"": ""Leaf yellowing indicates loss of available nitrogen by denitrification.""}]","Parameter: leaf yellowing
Fact: Leaf yellowing indicates loss of available nitrogen by denitrification.
Condition: prolonged wet periods
Recommended action: None",72f555068782533495ad2d86d139606f6698b3f1
soil_health,,living portion of soil organic matter,definition,The living portion represents about 15% of the total soil organic matter.,15.0,,,%,living portion of soil organic matter,None,The living portion represents about 15% of the total soil organic matter.,0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,28,28,,d88718bcdaaed0df559ca8f94cdee2aaf9bb941a,0.6461,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 28, ""page_end"": 28, ""chunk_id"": ""d88718bcdaaed0df559ca8f94cdee2aaf9bb941a"", ""evidence_quote"": ""The living portion represents about 15% of the total soil organic matter.""}]","Parameter: living portion of soil organic matter
Fact: The living portion represents about 15% of the total soil organic matter.
Explicit value: 15 %
Condition: living portion of soil organic matter
Recommended action: None",be5aef728f367c90c504fea274db475df623eb95
soil_health,,management recommendations,other_agronomic_fact,General management guidelines for specific constraints identified from soil health tests or field observations are presented in Table 24.2.,,,,None,constraints identified from soil health tests or field observations,None,General management guidelines for specific constraints that may have been identified from soil health tests or field observations are presented in Table 24.2.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,390,390,,00cea471522339c942d617a9156ab6c29a419b49,0.6282,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 390, ""page_end"": 390, ""chunk_id"": ""00cea471522339c942d617a9156ab6c29a419b49"", ""evidence_quote"": ""General management guidelines for specific constraints that may have been identified from soil health tests or field observations are presented in Table 24.2.""}]","Parameter: management recommendations
Fact: General management guidelines for specific constraints identified from soil health tests or field observations are presented in Table 24.2.
Condition: constraints identified from soil health tests or field observations
Recommended action: None",0df2f7be6ad8db21df651c6d4ac17ccb2a675f80
soil_health,,management recommendations,other_agronomic_fact,Recommendations for physical and biological constraints are less precise than for nutrient problems because these systems are more complex and have a weaker research base.,,,,None,physical and biological constraints,None,We cannot be quite as precise for making recommendations regarding physical and biological constraints as we can be for nutrient problems because these systems are more complex and we don’t have as strong a research base.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,390,390,,00cea471522339c942d617a9156ab6c29a419b49,0.6282,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 390, ""page_end"": 390, ""chunk_id"": ""00cea471522339c942d617a9156ab6c29a419b49"", ""evidence_quote"": ""We cannot be quite as precise for making recommendations regarding physical and biological constraints as we can be for nutrient problems because these systems are more complex and we don’t have as strong a research base.""}]","Parameter: management recommendations
Fact: Recommendations for physical and biological constraints are less precise than for nutrient problems because these systems are more complex and have a weaker research base.
Condition: physical and biological constraints
Recommended action: None",0cad9b941c40b96b19d535c7ff9d84e30341e32e
soil_health,,organic matter content,acceptable_range,The organic matter content of agricultural topsoil is usually in the range of 1–6%.,,1.0,6.0,%,agricultural topsoil,None,The organic matter content of agricultural topsoil is usually in the range of 1–6%.,0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,32,32,,dfd5df63c02bff22ee1ca5bb197064f78d9d78b7,0.647,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 32, ""page_end"": 32, ""chunk_id"": ""dfd5df63c02bff22ee1ca5bb197064f78d9d78b7"", ""evidence_quote"": ""The organic matter content of agricultural topsoil is usually in the range of 1–6%.""}]","Parameter: organic matter content
Fact: The organic matter content of agricultural topsoil is usually in the range of 1–6%.
Explicit range: 1 to 6 %
Condition: agricultural topsoil
Recommended action: None",29d580d5df0e84eea9034b91c08ef9768fdc63c9
soil_health,,organic matter cycling,cause_effect,Plowing caused more organic matter to be lost each year than was returned to the soil.,,,,None,plowing,None,"This was a major rift in organic matter cycling, because it caused more organic matter to be lost each year than was returned to the soil.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,20,20,,214d976f347c684a2078b4fbf47d350975ab1694,0.6461,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 20, ""page_end"": 20, ""chunk_id"": ""214d976f347c684a2078b4fbf47d350975ab1694"", ""evidence_quote"": ""This was a major rift in organic matter cycling, because it caused more organic matter to be lost each year than was returned to the soil.""}]","Parameter: organic matter cycling
Fact: Plowing caused more organic matter to be lost each year than was returned to the soil.
Condition: plowing
Recommended action: None",6ae0d16f6d7b1e8dd9cc7c1a6dbbb7f608aee2e0
soil_health,,organic matter decomposition,cause_effect,Plowing accelerates organic matter decomposition and releases more nutrients than unplowed land.,,,,None,plowing,None,Plowing was also beneficial because it accelerated organic matter decomposition and released more nutrients than unplowed land.,0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,20,20,,214d976f347c684a2078b4fbf47d350975ab1694,0.6461,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 20, ""page_end"": 20, ""chunk_id"": ""214d976f347c684a2078b4fbf47d350975ab1694"", ""evidence_quote"": ""Plowing was also beneficial because it accelerated organic matter decomposition and released more nutrients than unplowed land.""}]","Parameter: organic matter decomposition
Fact: Plowing accelerates organic matter decomposition and releases more nutrients than unplowed land.
Condition: plowing
Recommended action: None",c969a56888440bbc4f6726dd10a46b9b25b1f475
soil_health,,soil aeration,cause_effect,"During prolonged wet periods, poor soils remain saturated for an extended time, and lack of aeration stunts crop growth.",,,,None,prolonged wet periods,None,"During prolonged wet periods, poor soils remain saturated for an extended time, and lack of aeration stunts crop growth.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,379,379,,b756161014ada4aff228ae7a2e0ac9b9493b9684,0.6533,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 379, ""page_end"": 379, ""chunk_id"": ""b756161014ada4aff228ae7a2e0ac9b9493b9684"", ""evidence_quote"": ""During prolonged wet periods, poor soils remain saturated for an extended time, and lack of aeration stunts crop growth.""}]","Parameter: soil aeration
Fact: During prolonged wet periods, poor soils remain saturated for an extended time, and lack of aeration stunts crop growth.
Condition: prolonged wet periods
Recommended action: None",d0cc67a788e6471f7cb6478dfaf1de45399c8515
soil_health,,soil biodiversity,cause_effect,"Crops growing on soils low in biodiversity, in which plant disease organisms flourish, are generally treated with pesticides.",,,,None,soils low in biodiversity with flourishing plant disease organisms,None,"crops growing on soils low in biodiversity, in which plant disease organisms flourish, are generally treated with pesticides (fungicides, insecticides, nematicides).",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,26,26,,c272a951663e5084db2ccff7c13931e21e00abb2,0.697,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 26, ""page_end"": 26, ""chunk_id"": ""c272a951663e5084db2ccff7c13931e21e00abb2"", ""evidence_quote"": ""crops growing on soils low in biodiversity, in which plant disease organisms flourish, are generally treated with pesticides (fungicides, insecticides, nematicides).""}]","Parameter: soil biodiversity
Fact: Crops growing on soils low in biodiversity, in which plant disease organisms flourish, are generally treated with pesticides.
Condition: soils low in biodiversity with flourishing plant disease organisms
Recommended action: None",4542e49d0225cb156320bb4ff856a222f583ee6a
soil_health,,"soil biological diversity, structure, and cover",other_agronomic_fact,"Soils with a high degree of biological diversity, good soil structure and continual cover with living plants will be healthier for people as well as the plants growing in them.",,,,None,soil health,None,"In general, soils with a high degree of biological diversity, good soil structure and continual cover with living plants will be healthier for people as well as the plants growing in them.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,25,25,,da2f0c6595e56aa598fa7736c54123f7c3761950,0.6795,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 25, ""page_end"": 25, ""chunk_id"": ""da2f0c6595e56aa598fa7736c54123f7c3761950"", ""evidence_quote"": ""In general, soils with a high degree of biological diversity, good soil structure and continual cover with living plants will be healthier for people as well as the plants growing in them.""}]","Parameter: soil biological diversity, structure, and cover
Fact: Soils with a high degree of biological diversity, good soil structure and continual cover with living plants will be healthier for people as well as the plants growing in them.
Condition: soil health
Recommended action: None",ccd0262a44a594d85f99a3f34b4289e787cd53ee
soil_health,,soil composition,definition,"Soil consists of four parts: solid mineral particles, water, air and organic matter.",,,,None,None,None,"Soil consists of four parts: solid mineral particles, water, air and organic matter.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,19,19,,0f00443c37573ea69da81c7280c19f911387f93d,0.6081,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 19, ""page_end"": 19, ""chunk_id"": ""0f00443c37573ea69da81c7280c19f911387f93d"", ""evidence_quote"": ""Soil consists of four parts: solid mineral particles, water, air and organic matter.""}]","Parameter: soil composition
Fact: Soil consists of four parts: solid mineral particles, water, air and organic matter.
Condition: None
Recommended action: None",6f3ee413ce13610f9bc19088c9f3eb258bcc841f
soil_health,,soil contact and immune system,cause_effect,Frequent contact with soil and farm animals early in life results in fewer allergies and stimulates the immune system.,,,,None,early life contact with soil and farm animals,None,"In fact, frequent contact with soil and farm animals early in life results in fewer allergies and stimulates the immune system, helping it to better respond to infections as one grows older.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,25,25,,da2f0c6595e56aa598fa7736c54123f7c3761950,0.6795,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 25, ""page_end"": 25, ""chunk_id"": ""da2f0c6595e56aa598fa7736c54123f7c3761950"", ""evidence_quote"": ""In fact, frequent contact with soil and farm animals early in life results in fewer allergies and stimulates the immune system, helping it to better respond to infections as one grows older.""}]","Parameter: soil contact and immune system
Fact: Frequent contact with soil and farm animals early in life results in fewer allergies and stimulates the immune system.
Condition: early life contact with soil and farm animals
Recommended action: None",316a11eac9d1e8b99b383b1c79a89fcb6599c979
soil_health,,soil degradation,cause_effect,"When a soil is stripped of vegetation and starts to degrade, excessive runoff and flooding are more common.",,,,None,soil stripped of vegetation and degrading,None,"When a soil is stripped of vegetation and starts to degrade, excessive runoff and flooding are more common.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,18,18,,b606803bcb508bf1c0094a4b6773ca3afce7c547,0.5879,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 18, ""page_end"": 18, ""chunk_id"": ""b606803bcb508bf1c0094a4b6773ca3afce7c547"", ""evidence_quote"": ""When a soil is stripped of vegetation and starts to degrade, excessive runoff and flooding are more common.""}]","Parameter: soil degradation
Fact: When a soil is stripped of vegetation and starts to degrade, excessive runoff and flooding are more common.
Condition: soil stripped of vegetation and degrading
Recommended action: None",b28628cb535aa87d5a909f33299171e0fc22df7f
soil_health,,soil disturbance,management_action,"Minimize soil disturbance and reduce compaction using reduced tillage, better rotations, controlled field traffic, staying off wet soils, and compaction remediation.",,,,None,soil disturbance and compaction,"Minimize soil disturbance and reduce compaction using reduced tillage, better rotations, controlled field traffic, staying off wet soils, and compaction remediation.","Minimize soil disturbance and reduce compaction using reduced tillage, better rotations, controlled field traffic, staying off wet soils, compaction remediation, etc.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,125,125,,cb6cb15ae56b74cfe080de149731acc869a03518,0.6446,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 125, ""page_end"": 125, ""chunk_id"": ""cb6cb15ae56b74cfe080de149731acc869a03518"", ""evidence_quote"": ""Minimize soil disturbance and reduce compaction using reduced tillage, better rotations, controlled field traffic, staying off wet soils, compaction remediation, etc.""}]","Parameter: soil disturbance
Fact: Minimize soil disturbance and reduce compaction using reduced tillage, better rotations, controlled field traffic, staying off wet soils, and compaction remediation.
Condition: soil disturbance and compaction
Recommended action: Minimize soil disturbance and reduce compaction using reduced tillage, better rotations, controlled field traffic, staying off wet soils, and compaction remediation.",a8aea2856299407b2915143673d99b2d82415584
soil_health,,soil functions,definition,"Soils absorb, release and transform many different chemical compounds.",,,,None,None,None,"Soils also absorb, release and",0.8,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,18,18,,b606803bcb508bf1c0094a4b6773ca3afce7c547,0.5879,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 18, ""page_end"": 18, ""chunk_id"": ""b606803bcb508bf1c0094a4b6773ca3afce7c547"", ""evidence_quote"": ""Soils also absorb, release and""}]","Parameter: soil functions
Fact: Soils absorb, release and transform many different chemical compounds.
Condition: None
Recommended action: None",1825ed7b6f65a7f655d9850b60e07976122bdbc6
soil_health,,soil functions,definition,Soils govern whether rainfall runs off the field or enters the ground and eventually helps recharge underground aquifers.,,,,None,None,None,Soils govern whether rainfall runs off the field or enters the ground and eventually helps recharge underground aquifers.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,18,18,,b606803bcb508bf1c0094a4b6773ca3afce7c547,0.5879,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 18, ""page_end"": 18, ""chunk_id"": ""b606803bcb508bf1c0094a4b6773ca3afce7c547"", ""evidence_quote"": ""Soils govern whether rainfall runs off the field or enters the ground and eventually helps recharge underground aquifers.""}]","Parameter: soil functions
Fact: Soils govern whether rainfall runs off the field or enters the ground and eventually helps recharge underground aquifers.
Condition: None
Recommended action: None",eaac9e078741b920b96c87c3ec145623fe06ac69
soil_health,,soil health,definition,"Optimal chemical, biological and physical properties promote healthy soils.",,,,None,None,None,"Optimal chemical, biological and physical properties promote healthy soils.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,121,121,,724e00d3c5f751a2e44374533738982ff7bf88c3,0.6701,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 121, ""page_end"": 121, ""chunk_id"": ""724e00d3c5f751a2e44374533738982ff7bf88c3"", ""evidence_quote"": ""Optimal chemical, biological and physical properties promote healthy soils.""}]","Parameter: soil health
Fact: Optimal chemical, biological and physical properties promote healthy soils.
Condition: None
Recommended action: None",7587849d058fc0f79c444d87fa4267c0c9f941c1
soil_health,,soil health,cause_effect,"Symptoms of degraded, poor-quality soil are usually directly related to soil organic matter depletion, lack of a thriving and diverse population of soil organisms, chemical pollution or compaction caused by heavy field equipment.",,,,None,"degraded, poor-quality soil",None,"These symptoms are usually directly related to soil organic matter depletion, lack of a thriving and diverse population of soil organisms, chemical pollution or compaction caused by heavy field equipment.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,14,14,,7f8828d1261f398c232c61f2f56f73dfcaff887e,0.6339,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 14, ""page_end"": 14, ""chunk_id"": ""7f8828d1261f398c232c61f2f56f73dfcaff887e"", ""evidence_quote"": ""These symptoms are usually directly related to soil organic matter depletion, lack of a thriving and diverse population of soil organisms, chemical pollution or compaction caused by heavy field equipment.""}]","Parameter: soil health
Fact: Symptoms of degraded, poor-quality soil are usually directly related to soil organic matter depletion, lack of a thriving and diverse population of soil organisms, chemical pollution or compaction caused by heavy field equipment.
Condition: degraded, poor-quality soil
Recommended action: None",ca39f57abf37f28400313d11185ee9ca89a233e9
soil_health,,soil health management practices,management_action,"Soil health management practices can be grouped into five categories: minimize soil disturbance, keep soil covered, maximize biodiversity, manage water to reduce runoff and promote crop needs and timely fieldwork, and maintain desired range of pH and nutrients to grow healthy crops without excessive nutrient loss.",,,,None,None,minimize soil disturbance; keep soil covered; maximize biodiversity; manage water to reduce runoff and promote crop needs and timely fieldwork; maintain desired range of pH and nutrients to grow healthy crops without excessive nutrient loss,Soil health management practices that contribute to these overall goals can be grouped as follows: 1) minimize soil disturbance; 2) keep soil covered; 3) maximize biodiversity; 4) manage water to reduce runoff and promote crop needs and timely fieldwork; and 5) maintain desired range of pH and nutrients to grow healthy crops without excessive nutrient loss.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,132,132,,26e18412328553b0db520ef29754eb1e99e19f5e,0.6236,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 132, ""page_end"": 132, ""chunk_id"": ""26e18412328553b0db520ef29754eb1e99e19f5e"", ""evidence_quote"": ""Soil health management practices that contribute to these overall goals can be grouped as follows: 1) minimize soil disturbance; 2) keep soil covered; 3) maximize biodiversity; 4) manage water to reduce runoff and promote crop needs and timely fieldwork; and 5) maintain desired range of pH and nutrients to grow healthy crops without excessive nutrient loss.""}]","Parameter: soil health management practices
Fact: Soil health management practices can be grouped into five categories: minimize soil disturbance, keep soil covered, maximize biodiversity, manage water to reduce runoff and promote crop needs and timely fieldwork, and maintain desired range of pH and nutrients to grow healthy crops without excessive nutrient loss.
Condition: None
Recommended action: minimize soil disturbance; keep soil covered; maximize biodiversity; manage water to reduce runoff and promote crop needs and timely fieldwork; maintain desired range of pH and nutrients to grow healthy crops without excessive nutrient loss",4b33d52e742afa4635127fa1c0f5fd0160099218
soil_health,,soil health measurement timing,measurement,Soil health is best measured in the early spring and late fall under moist (but not too wet) soil conditions.,,,,None,moist (but not too wet) soil condition,None,"Generally, soil health is best measured in the early spring and late fall under moist (but not too wet) soil condition.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,376,376,,dec91d235d6bc2838f8d9a0c2f3b30feebf47e22,0.6248,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 376, ""page_end"": 376, ""chunk_id"": ""dec91d235d6bc2838f8d9a0c2f3b30feebf47e22"", ""evidence_quote"": ""Generally, soil health is best measured in the early spring and late fall under moist (but not too wet) soil condition.""}]","Parameter: soil health measurement timing
Fact: Soil health is best measured in the early spring and late fall under moist (but not too wet) soil conditions.
Condition: moist (but not too wet) soil condition
Recommended action: None",54a10f3b381453bb4f16f836d3c8098312a3e0a1
soil_health,,soil health problem observation timing,measurement,Soil health problems are better observed during wet or dry periods when runoff or crop drought stress symptoms might be seen.,,,,None,wet or dry periods,None,But soil health problems are better observed during wet or dry periods when you might see runoff or crop drought stress symptoms.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,376,376,,dec91d235d6bc2838f8d9a0c2f3b30feebf47e22,0.6248,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 376, ""page_end"": 376, ""chunk_id"": ""dec91d235d6bc2838f8d9a0c2f3b30feebf47e22"", ""evidence_quote"": ""But soil health problems are better observed during wet or dry periods when you might see runoff or crop drought stress symptoms.""}]","Parameter: soil health problem observation timing
Fact: Soil health problems are better observed during wet or dry periods when runoff or crop drought stress symptoms might be seen.
Condition: wet or dry periods
Recommended action: None",0397e1cae6d644821471113e2e0762b97dcfd3f5
